m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
-1,1,-1,1,0.3896345131043052,0.4485388185768457,-0.46153647141314824,-0.5731462422124636
-1,1,0,1,-0.1659955171125831,0.17323691128229696,-0.03557942825069925,-0.19783129664858734
-1,1,1,1,-0.062477603087564504,0.019789043477367457,0.,0.
-1,1,-2,2,0.5019216051666759,-2.2730804067678116,1.1217214736417942,4.665614277714416
-1,1,-1,2,-0.2777514487889686,1.651435282225633,0.9752130046280341,-3.6069810045491173
-1,1,0,2,-1.269857445787015,-0.5862574243407495,0.8299775855629156,-0.8661845564114847
-1,1,1,2,-0.1893340272473655,-0.32320704183949184,0.10412933847927418,-0.03298173912894575
-1,1,2,2,-0.0015299925857621898,-0.05113561092851964,0.,0.
-1,1,-3,3,-31.980009773364788,-15.845541148675535,27.10267244834547,-38.639479006527516
-1,1,-2,3,19.57986379514154,25.723797140330916,-47.779146150243704,23.619480781586137
-1,1,-1,3,-1.5499642594004572,2.4831864914973845,11.636526041198893,0.4760241108823017
-1,1,0,3,3.3937553856463976,-6.679296868752655,4.569029059131999,2.7443105234626786
-1,1,1,3,1.7379863660290844,-1.1215839380546737,0.33133454768288967,0.5656123232191107
-1,1,2,3,0.28248104113025124,-0.019136334237529643,0.0010709948100335333,0.03579492764996375
-1,1,3,3,0.023406774786483814,0.010801757973825692,0.,0.
-1,1,-4,4,-71.2774464137198,1101.8799992904258,-813.1813366828809,-60.24643054118837
-1,1,-3,4,701.068228450437,-1109.2951354380448,893.309880534639,577.5772665591923
-1,1,-2,4,-368.21043248320564,206.3870711113303,-216.60074720737848,-399.47628826069723
-1,1,-1,4,-76.79890270797912,-0.5756173833276361,-0.05188274002198621,16.439915578906017
-1,1,0,4,35.94652808556221,19.46758143832343,-12.17321236229019,22.116733541645523
-1,1,1,4,6.826435512368992,10.61367500135186,-3.2033485825574295,2.042597940671254
-1,1,2,4,0.12484771282266381,1.7591541453783615,-0.28248104113025124,0.019136334237529643
-1,1,3,4,-0.0672772377010029,0.14694839897995926,-0.010031474908493062,-0.004629324845925295
-1,1,4,4,-0.008842735218226693,0.006603767767385368,0.,0.
-1,1,-5,5,38419.90724121596,-17594.543870337093,9318.85107988565,20369.690643305603
-1,1,-4,5,-56092.15039237184,-3962.5467406598295,2238.259912672488,-31499.36639446006
-1,1,-3,5,22606.21517249636,14504.794351571223,-9202.397497613807,14327.417835177506
-1,1,-2,5,-1564.471494997029,-2859.127785304657,3019.646867999754,-1649.0849003778455
-1,1,-1,5,0.05717119437966252,-1265.511267017019,259.65181900381225,0.03680330457233886
-1,1,0,5,-86.95629824801577,159.28147316908033,-107.82783074430536,-58.92645891219111
-1,1,1,5,-67.98881929432812,43.661036465664445,-12.775466060141612,-19.902813851674377
-1,1,2,5,-12.016766334546539,0.8523715692673581,-0.14744248151319986,-2.0833333091997424
-1,1,3,5,-1.0266524922671543,-0.4698541437808474,0.046253100919439495,-0.101027024298722
-1,1,4,5,-0.046580974542628974,-0.062356085022151134,0.0027019468722359343,-0.0020178179289233075
-1,1,5,5,-0.000600034143752736,-0.004209518629270883,0.,0.
-1,1,-6,6,-1.6770983773674117e6,-1.2528119453211087e6,527389.0642584835,-705982.1495353183
-1,1,-5,6,1.236429516925897e6,2.701595059028514e6,-1.1858189394558182e6,542692.923530606
-1,1,-4,6,118970.8106979677,-1.677856406797483e6,792626.0993620987,56212.329210790485
-1,1,-3,6,-222358.48354873332,346311.27332937345,-194909.32386059212,-125151.00308668675
-1,1,-2,6,2994.0144048810653,-1636.3439741038517,9887.311151395344,18098.783793070746
-1,1,-1,6,15707.863469448503,-0.03133936306814958,-0.019249973861941796,4546.619719234732
-1,1,0,6,-159.28897781493905,-87.00736249529346,247.18661020614397,-452.46750171179445
-1,1,1,6,-279.81990927452824,-435.79095701776987,128.90898386872027,-82.7707358634547
-1,1,2,6,-6.207661061135104,-87.53561757065853,15.726717764473168,-1.1151908213357913
-1,1,3,6,3.577220238637112,-7.8163749657982615,0.8912144841183162,0.4078756048655903
-1,1,4,6,0.48451108314786706,-0.361940589629691,0.02422210676216707,0.032425164211518594
-1,1,5,6,0.033057779112449205,-0.004712269067836064,0.00014182625215973762,0.0009949771305549362
-1,1,6,6,0.0014235783651579093,0.0005332521608056449,0.,0.
-1,1,-7,7,-1.8737996390375335e7,1.3145191035677068e8,-4.618462530764581e7,-6.583462964755777e6
-1,1,-6,7,1.1766138450984105e8,-1.5750724151953194e8,5.7181847656266645e7,4.271612329588723e7
-1,1,-5,7,-1.1159257581570281e8,5.1071207546139985e7,-1.9524922117276445e7,-4.26627434029748e7
-1,1,-4,7,3.8675578759088285e7,2.7426650956267826e6,-1.1558483455176514e6,1.6299081915482013e7
-1,1,-3,7,-4.155436876780053e6,-2.66817355083046e6,1.4995418559579297e6,-2.335397602932861e6
-1,1,-2,7,-222679.22019566322,-407611.7815512918,-30767.40597505429,16808.30685835863
-1,1,-1,7,0.015548169327876178,163478.69158050598,-53130.632118233596,-0.004830118502810731
-1,1,0,7,-5193.236809265062,9506.153380953192,569.7667207214698,311.26504541671954
-1,1,1,7,2592.4662741614134,-1664.6038019291495,535.5505111909976,834.0706698500863
-1,1,2,7,663.6720948112691,-47.06422515829925,8.686909136083633,122.49791159841455
-1,1,3,7,63.69761269121595,29.151692633535657,-3.587031502468508,7.837804940649505
-1,1,4,7,3.0492981607670306,4.081937240073245,-0.3305829322467562,0.24695277465043972
-1,1,5,7,0.040428102911518875,0.2836133520030243,-0.013774074630187167,0.001963445444931693
-1,1,6,7,-0.0046248867515435305,0.01234667385758506,-0.0002737650702226748,-0.00010254849246262398
-1,1,7,7,-0.0003893587878894825,0.0003362857400048537,0.,0.
-1,1,-8,8,9.880936173611809e9,-3.7012568271902723e9,1.1190571843089802e9,2.9874535202709312e9
-1,1,-7,8,-1.5939320447811226e10,-2.2720949905459113e9,7.056977126610091e8,-4.950647627008901e9
-1,1,-6,8,8.584220425932766e9,6.412604028823935e9,-2.0719684494064517e9,2.773636678168846e9
-1,1,-5,8,-1.6195965219849532e9,-3.5388829364686623e9,1.2204565480888698e9,-5.5855115682371e8
-1,1,-4,8,-5.290526585834145e7,7.460394088789517e8,-2.9480964133979374e8,-2.0906380251647245e7
-1,1,-3,8,2.068169899560812e7,-3.2209838389704354e7,2.380401740371632e7,1.528438385409463e7
-1,1,-2,8,1.0417638882246839e7,-5.691182055780112e6,856990.7306479851,1.5687110155731093e6
-1,1,-1,8,-1.3769063893494245e6,0.003699496109878563,0.0007702489003819288,-522102.35625654226
-1,1,0,8,-185821.70781919925,-101514.8616935251,12242.724789665306,-22410.157329207155
-1,1,1,8,7243.824524720863,11281.588193496491,-5009.262931147708,3216.4107289266185
-1,1,2,8,360.53536384319125,5084.060515904479,-974.899607809125,69.13485245301504
-1,1,3,8,-250.0981556139838,546.4744402310938,-70.557714648825,-32.291271253327025
-1,1,4,8,-36.77878825869679,27.47457490295407,-2.4717703790821233,-3.308830801737049
-1,1,5,8,-2.6245465614715813,0.3741200396018964,-0.022665660537179947,-0.15900533459246227
-1,1,6,8,-0.11613410902132641,-0.04350216957205346,0.0016045525464538782,-0.004283539909774409
-1,1,7,8,-0.0031970474604091064,-0.0037016095904836865,0.00006303904184877334,-0.00005444626266745249
-1,1,8,8,-0.00003520328615637562,-0.00016324932733335868,0.,0.
-1,1,-9,9,-7.786951325301787e11,-6.725520979421119e11,1.7872479749547742e11,-2.0693137421603592e11
-1,1,-8,9,5.633065534916353e11,1.503812461158994e12,-4.08854161617848e11,1.531508978523822e11
-1,1,-7,9,1.578251411824864e11,-1.107183224605412e12,3.107446594360206e11,4.429557698734556e10
-1,1,-6,9,-2.6580524763284305e11,3.55819697262082e11,-1.047895622098079e11,-7.82801394916666e10
-1,1,-5,9,9.467807846574698e10,-4.333013784662579e10,1.388487846825956e10,3.0339012951192547e10
-1,1,-4,9,-1.2142323713776283e10,-8.610709949687517e8,3.395372710356872e8,-4.7879576453181095e9
-1,1,-3,9,-1.4648153198490077e8,-9.405471011663374e7,-1.0764019766599478e8,1.676396753214847e8
-1,1,-2,9,1.0116578710221566e8,1.851827311429823e8,-3.876528818822863e7,2.117757345579726e7
-1,1,-1,9,-0.0005650554988244972,-6.406367236096896e6,4.209369478544737e6,0.00007895481639580667
-1,1,0,9,1.4088812222926656e6,-2.578939778802996e6,440514.6384935701,240654.24383240327
-1,1,1,9,25864.602906785236,-16607.470535602577,-14238.12138355899,-22174.560228243743
-1,1,2,9,-37493.436875623695,2658.8412389399664,-549.6265068247741,-7750.514188893497
-1,1,3,9,-4848.915796740404,-2219.142944799273,298.1532688577461,-651.4767777836115
-1,1,4,9,-261.42731609346436,-349.9591873739309,33.656403464316185,-25.142083831721106
-1,1,5,9,-3.6931218279576807,-25.90818232609214,1.7822364671314086,-0.2540516472963875
-1,1,6,9,0.43913858720207766,-1.172331611582182,0.05517484793441769,0.020667705735347087
-1,1,7,9,0.03792211134302243,-0.032752992125059104,0.0009491234648089535,0.0010989153471748444
-1,1,8,9,0.0016897391108626,-0.0003643774245587344,4.9181061541995335e-6,0.000022806891318630988
-1,1,9,9,0.00005030770400696978,0.000014881668596070622,0.,0.
-1,1,-10,10,-2.5492714637669043e13,1.1821818274695036e14,-2.8047551396474887e13,-6.048208553229332e12
-1,1,-9,10,1.2555548018327053e14,-1.4537080707189706e14,3.5179978496715375e13,3.038463624138777e13
-1,1,-8,10,-1.2960369542569056e14,4.854768321799714e13,-1.2064439632029227e13,-3.2207426923595777e13
-1,1,-7,10,5.791832608433538e13,8.256057163951368e12,-2.1307091688673386e12,1.4947462933241006e13
-1,1,-6,10,-1.2401859685604525e13,-9.264465712364764e12,2.5377265431843594e12,-3.397122887180146e12
-1,1,-5,10,1.014208824006274e12,2.216086710122692e12,-6.80335481865039e11,3.113606727747223e11
-1,1,-4,10,1.0891929971997395e10,-1.535916785720373e11,6.8563027036879364e10,4.862136387252083e9
-1,1,-3,10,8.74100752133721e9,-1.3613312634989683e10,5.13399491052879e8,3.296500222296364e8
-1,1,-2,10,-2.6935401099023523e9,1.471487668534586e9,-3.568528719274983e8,-6.532148005214099e8
-1,1,-1,10,-8.240237649610819e7,-0.00005599712126419153,-3.7187770290622483e-6,1.936483274498423e7
-1,1,0,10,3.004723967903025e7,1.6414881849581216e7,-3.3041932585902708e6,6.048285190011786e6
-1,1,1,10,1.0957941303231055e6,1.7065982431971447e6,-44877.57788924875,28815.56138369224
-1,1,2,10,-16849.25584108212,-237598.43241164534,58890.801756408684,-4176.232037402727
-1,1,3,10,19916.455019633027,-43518.24815276302,6118.300903127783,2800.0866281672106
-1,1,4,10,3472.661716062122,-2594.1557326657103,261.98654016113005,350.7077916277176
-1,1,5,10,270.08020225659,-38.49899918448481,2.875390919854298,20.17159348690728
-1,1,6,10,12.584411404332187,4.713939801910744,-0.2562742922191059,0.6841540751814534
-1,1,7,10,0.3584241447266425,0.41499110287244895,-0.015616895645106736,0.013488174628651808
-1,1,8,10,0.004041553678106373,0.018742026421671935,-0.00043808051022363703,0.00009446822118189412
-1,1,9,10,-0.00016669410349132077,0.000563511918305228,-6.178139088575236e-6,-1.8275733363595495e-6
-1,1,10,10,-0.000011375379315511281,0.000011325146234406694,0.,0.
