n,m,real[M_mn_rho],cmplx[M_mn_rho],real[M_mn_theta],cmplx[M_mn_theta],real[M_mn_phi],cmplx[M_mn_phi]
1,-1,0.,0,-0.03139641318985074,0.03923347089937576,0.03845141356118516,0.030770575231466646
1,0,0.,0,0.,0.,0.015588974816692984,0.012475008795585761
1,1,0.,0,-0.06279282637970147,0.07846694179875152,-0.07690282712237032,-0.06154115046293329
2,-2,0.,0,-0.003231818819601256,-0.003871180862221395,-0.0037940149798418306,0.0031673976107295244
2,-1,0.,0,0.03188612553385883,0.038194269489492304,0.03589475716914454,-0.029966399368303143
2,0,0.,0,0.,0.,0.04552817975810197,-0.0380087713287543
2,1,0.,0,0.19131675320315303,0.22916561693695386,-0.21536854301486721,0.17979839620981883
2,2,0.,0,0.07756365167043015,0.0929083406933135,-0.09105635951620394,0.0760175426575086
3,-3,0.,0,0.0002351580133352286,-0.00009743008575282257,-0.00009548797072254755,-0.00023047050938140263
3,-2,0.,0,-0.0046402836000720435,0.0019225508102415436,0.001845515053447699,0.004454349497854633
3,-1,0.,0,0.045312159304932154,-0.01877362163470756,-0.016489639694763192,-0.039799522716953986
3,0,0.,0,0.,0.,-0.04475691416120442,-0.10802563639188094
3,1,0.,0,0.5437459116591858,-0.22528345961649074,0.19787567633715833,0.47759427260344794
3,2,0.,0,0.5568340320086452,-0.23070609722898525,0.22146180641372387,0.534521939742556
3,3,0.,0,0.16931376960136457,-0.07014966174203224,0.06875133892023425,0.1659387667546099
4,-4,0.,0,-1.3558482508710207e-7,8.624642519570657e-6,8.452723879259679e-6,1.3288215553031948e-7
4,-3,0.,0,4.013165645604204e-6,-0.00025528018377368413,-0.00024676467218633845,-3.87929642766531e-6
4,-2,0.,0,-0.00007864793138425239,0.00500284816281719,0.004666448009772317,0.00007335950861120811
4,-1,0.,0,0.0007572367459799435,-0.04816834208816792,-0.03826296972145127,-0.0006015180391794732
4,0,0.,0,0.,0.,-0.19139144576327807,-0.0030087943515453032
4,1,0.,0,0.01514473491959887,-0.9633668417633584,0.7652593944290254,0.012030360783589465
4,2,0.,0,0.028313255298330866,-1.8010253386141886,1.6799212835180342,0.026409423100034923
4,3,0.,0,0.020226354853845184,-1.286612126219368,1.243693947819146,0.01955165399543316
4,4,0.,0,0.005466780147511955,-0.34774558638908887,0.34081382681175026,0.005357808510982482
