n,m,real[M_mn_rho],cmplx[M_mn_rho],real[M_mn_theta],cmplx[M_mn_theta],real[M_mn_phi],cmplx[M_mn_phi]
1,-1,0.,0,-0.00005884958673131285,0.000308750665270086,0.00030259620791745997,0.00005767651307512915
1,0,0.,0,0.,0.,0.00012267857610347589,0.00002338321602695168
1,1,0.,0,-0.0001176991734626257,0.000617501330540172,-0.0006051924158349199,-0.0001153530261502583
2,-2,0.,0,-0.000032023774346710296,-0.000011394991051555627,-0.000011167849884429697,0.00003138543093354051
2,-1,0.,0,0.0003159564771063368,0.00011242651132650133,0.00010565779572113726,-0.00029693409962639627
2,0,0.,0,0.,0.,0.00013401419861315637,-0.00037662517120248617
2,1,0.,0,0.001895738862638021,0.0006745590679590081,-0.0006339467743268235,0.0017816045977583775
2,2,0.,0,0.0007685705843210472,0.00027347978523733504,-0.00026802839722631273,0.0007532503424049723
3,-3,0.,0,1.0397514367251394e-6,-1.6150029798723562e-6,-1.5828104436869081e-6,-1.0190256323967218e-6
3,-2,0.,0,-0.000020517019477916398,0.000031868239296978704,0.000030591293107129157,0.00001969491162296885
3,-1,0.,0,0.00020034776646653878,-0.00031119191416877594,-0.0002733325854975196,-0.00017597363721106257
3,0,0.,0,0.,0.,-0.0007418914720409383,-0.0004776354802823097
3,1,0.,0,0.0024041731975984657,-0.0037343029700253115,0.0032799910259702354,0.002111683646532751
3,2,0.,0,0.0024620423373499676,-0.0038241887156374448,0.003670955172855499,0.002363389394756262
3,3,0.,0,0.0007486210344421002,-0.0011628021455080961,0.001139623519454574,0.0007336984553256398
4,-4,0.,0,4.835861452623859e-8,5.832570247689626e-8,5.7163071626718156e-8,-4.739466184787442e-8
4,-3,0.,0,-1.4313632101604466e-6,-1.7263783412755883e-6,-1.6687906564347316e-6,1.3836164958575948e-6
4,-2,0.,0,0.000028051111137649905,0.000033832664115577544,0.000031557697333458165,-0.000026164905965580403
4,-1,0.,0,-0.00027008125636790616,-0.0003257471116124242,-0.0002587602422699548,0.00021454155336758378
4,0,0.,0,0.,0.,-0.0012943192134492888,0.0010731372492580257
4,1,0.,0,-0.005401625127358123,-0.006514942232248484,0.005175204845399096,-0.004290831067351676
4,2,0.,0,-0.010098400009553967,-0.012179759081607918,0.01136077104004494,-0.009419366147608946
4,3,0.,0,-0.007214070579208649,-0.008700946840028964,0.008410704908431049,-0.006973427139122278
4,4,0.,0,-0.0019498193376979395,-0.002351692323868457,0.002304815047989276,-0.0019109527657062966
