n,m,real[N_mn_rho],cmplx[N_mn_rho],real[N_mn_theta],cmplx[N_mn_theta],real[N_mn_phi],cmplx[N_mn_phi]
1,-1,-0.0015588974816692983,-0.001247500879558576,0.030503986777255288,-0.03804024058015217,-0.03881393513483754,-0.031124402634406065
1,0,0.01538056542447406,0.012308230092586657,0.012366928485546989,-0.015422277037522178,0.,0.
1,1,0.0031177949633385965,0.002495001759117152,-0.061007973554510576,0.07608048116030434,-0.07762787026967508,-0.06224880526881213
2,-2,0.0002307254733852518,-0.00019261898464231986,0.003060755304194031,0.003690064316853187,0.0037651159628166913,-0.0031230075317289657
2,-1,-0.004552817975810196,0.0038008771328754292,-0.028957468270933408,-0.03491129141442986,-0.037147800338238404,0.03081255966328668
2,0,0.043996610496514446,-0.03673015518053304,-0.036729063650328374,-0.04428077180223825,0.,0.
2,1,0.02731690785486118,-0.022805262797252576,0.17374480962560043,0.20946774848657912,-0.22288680202943045,0.18487535797972007
2,2,0.005537411361246043,-0.004622855631415677,0.07345812730065675,0.0885615436044765,-0.0903627831076006,0.07495218076149518
3,-3,7.742547974327475e-6,0.00001868747405616238,-0.00021708499548466783,0.00008817503810695684,0.00008996841653469797,0.00022150025354688994
3,-2,-0.00022917112973411412,-0.0005531292225153662,0.004195645001281598,-0.0017041765463582978,-0.0017753125307079115,-0.004370780222914293
3,-1,0.0044756914161204414,0.010802563639188092,-0.03748800326988417,0.015226782991131319,0.01733584650003508,0.04268047102648305
3,0,-0.041866846564772804,-0.10105014674584326,-0.10175160740219268,0.0413292122751345,0.,0.
3,1,-0.053708296993445294,-0.1296307636702571,0.44985603923861006,-0.18272139589357586,0.208030158000421,0.5121656523177966
3,2,-0.027500535568093693,-0.06637550670184394,0.5034774001537917,-0.20450118556299574,0.21303750368494936,0.5244936267497152
3,3,-0.005574634541515782,-0.013454981320436913,0.15630119674896084,-0.06348602743700893,0.06477725990498252,0.15948018255376073
4,-4,-8.567259788548664e-7,-1.3468273233009997e-8,2.193343446327185e-7,-7.578084115587894e-6,-7.73221359336615e-6,-2.2379535185848142e-7
4,-3,0.000033810895517038714,5.315286221212779e-7,-6.403139204073769e-6,0.00022123086821420305,0.0002288652431231609,6.624102786926113e-6
4,-2,-0.0009939124965761927,-0.000015624931896525318,0.00012108668526336714,-0.00418359052587076,-0.00448518190548814,-0.00012981571843141923
4,-1,0.019139144576327805,0.0003008794351545303,-0.000992861414549259,0.03430373536426771,0.043184156168664445,0.0012498896089432204
4,0,-0.17094230382417655,-0.002687320930855349,-0.004966294643529008,0.17158734813955961,0.,0.
4,1,-0.38278289152655615,-0.006017588703090606,0.01985722829098518,-0.6860747072853541,0.8636831233732889,0.024997792178864407
4,2,-0.35780849876742943,-0.005624975482749115,0.04359120669481218,-1.506092589313474,1.6146654859757303,0.046733658635310926
4,3,-0.17040691340587513,-0.0026789042554912408,0.0322718215885318,-1.1150035757995833,1.1534808253407307,0.03338547804610761
4,4,-0.034543191467428215,-0.000543040776754963,0.008843560775591211,-0.3055483515405039,0.31176285208452315,0.00902342858693397
