n,m,real[N_mn_rho],cmplx[N_mn_rho],real[N_mn_theta],cmplx[N_mn_theta],real[N_mn_phi],cmplx[N_mn_phi]
1,-1,-3.355435708959273e-61,3.1781590295798266e-61,-1.4226705934298106e-58,-3.585206763964843e-58,-3.658125728419237e-58,1.4516060700319733e-58
1,0,-3.310576805474161e-60,3.135670142432447e-60,5.767792130226018e-59,1.453514780858491e-58,0.,0.
1,1,6.710871417918545e-61,-6.356318059159653e-61,2.8453411868596213e-58,7.170413527929686e-58,-7.316251456838473e-58,2.9032121400639466e-58
2,-2,4.718417375920591e-62,5.036627809207234e-62,-3.5768848459168635e-59,1.396671160410222e-59,1.4250778385756402e-59,3.6496345521704664e-59
2,-1,9.310673473230635e-61,9.938586013402882e-61,-3.384051292584277e-58,1.3213751768097172e-58,1.4060259374920511e-58,3.600842497030026e-58
2,0,8.997462152856229e-60,9.604251697323338e-60,4.2922618151002355e-58,-1.676005392492266e-58,0.,0.
2,1,-5.58640408393838e-60,-5.963151608041729e-60,2.0304307755505677e-57,-7.92825106085831e-58,8.436155624952306e-58,2.1605054982180158e-57
2,2,1.1324201702209419e-60,1.208790674209736e-60,-8.58452363020047e-58,3.3520107849845315e-58,-3.4201868125815374e-58,-8.75912292520912e-58
3,-3,3.3721110116900085e-63,-3.107394816467669e-63,6.812582299360498e-61,1.7880612678069847e-60,1.8244283686782635e-60,-6.951142354396306e-61
3,-2,9.98108752700329e-62,-9.197555933538553e-62,1.316681367420905e-59,3.4558216718342743e-59,3.6000750808416877e-59,-1.3716424718595479e-59
3,-1,1.9492973578296923e-60,-1.796274346981949e-60,1.176452140068884e-58,3.0877696777083668e-58,3.515457020133045e-58,-1.3394026648144048e-58
3,0,1.8234262776792074e-59,-1.6802843512057487e-59,-3.193178773005596e-58,-8.38096192354359e-58,0.,0.
3,1,-2.3391568293956316e-59,2.1555292163783397e-59,-1.4117425680826596e-57,-3.7053236132500374e-57,4.218548424159655e-57,-1.607283197777286e-57
3,2,1.197730503240395e-59,-1.1037067120246265e-59,1.580017640905086e-57,4.146986006201129e-57,-4.320090097010025e-57,1.645970966231457e-57
3,3,-2.4279199284168063e-60,2.2373242678567218e-60,-4.9050592555395594e-58,-1.2874041128210293e-57,1.3135884254483496e-57,-5.0048224951653404e-58
4,-4,-1.2763615511655002e-64,-1.415936441454088e-64,5.97106300899965e-62,-2.2001713519086568e-62,-2.2449202958791814e-62,-6.092507533673786e-62
4,-3,-5.03719136731499e-63,-5.588027007744313e-63,1.743162827825415e-60,-6.42307225650277e-61,-6.644723701752214e-61,-1.803316994657563e-60
4,-2,-1.4807438167667253e-61,-1.6426686691582728e-61,3.296411368995516e-59,-1.2146362962907323e-59,-1.302198363865552e-59,-3.5340467796347684e-59
4,-1,-2.8513747525287574e-60,-3.1631832035843675e-60,2.7029228256092244e-58,-9.959522045508804e-59,-1.2537805309287482e-58,-3.402645227217465e-58
4,0,-2.5467207654945123e-59,-2.8252141681788697e-59,-1.352002500448605e-57,4.981754780869816e-58,0.,0.
4,1,5.702749505057514e-59,6.326366407168735e-59,-5.405845651218449e-57,1.9919044091017607e-57,-2.5075610618574963e-57,-6.805290454434929e-57
4,2,-5.33067774036021e-59,-5.913607208969782e-59,1.1867080928383863e-56,-4.3726906666466397e-57,4.687914109915987e-57,1.2722568406685164e-56
4,3,2.538744449126755e-59,2.816365611903134e-59,-8.785540652240085e-57,3.2372284172773944e-57,-3.3489407456831165e-57,-9.088717653074118e-57
4,4,-5.146289774299296e-60,-5.709055731942881e-60,2.407532605228659e-57,-8.871090890895707e-58,9.05151863298486e-58,2.4564990375772697e-57
